Experiment ID,Strategy,Asset,Execution Assumption,Entry Rule,Exit Rule,CAGR,Sharpe,Sortino,Max Drawdown,Net Profit,Win Rate,Average Win,Average Loss,Profit-Loss Ratio,Total Orders,Fees,Turnover,End Equity,Notes
EXP-001_QQQ_ORB_5M_BASELINE,Opening Range Breakout,QQQ,Clean baseline with standard QuantConnect fills,Break above 5-minute opening range high,End of day,7.738%,0.224,0.225,16.100%,59.896%,55%,0.72%,-0.80%,0.91,2636,$4391.32,114.18%,$159895.92,Clean baseline before adding extra slippage cost or delay assumptions
EXP-002_QQQ_ORB_5M_1MIN_ENTRY_DELAY,Opening Range Breakout,QQQ,One-minute delayed entry after breakout signal,Break above 5-minute opening range high but enter one minute later,End of day,7.130%,0.192,0.192,16.500%,54.296%,56%,0.71%,-0.80%,0.88,2636,$4238.28,114.17%,$154296.39,One-minute entry delay weakened CAGR Sharpe Sortino net profit and drawdown versus clean baseline
EXP-003_QQQ_ORB_5M_5MIN_ENTRY_DELAY,Opening Range Breakout,QQQ,Five-minute delayed entry after breakout signal,Break above 5-minute opening range high but enter five minutes later,End of day,8.936%,0.285,0.268,17.600%,71.429%,56%,0.71%,-0.80%,0.89,2631,$4387.62,113.91%,$171428.94,Five-minute entry delay improved CAGR Sharpe Sortino and net profit but increased drawdown; delay may act like a confirmation filter rather than pure execution drag
EXP-004_QQQ_ORB_5M_10MIN_ENTRY_DELAY,Opening Range Breakout,QQQ,Ten-minute delayed entry after breakout signal,Break above 5-minute opening range high but enter ten minutes later,End of day,11.154%,0.410,0.419,12.000%,94.629%,57%,0.69%,-0.78%,0.88,2626,$4871.39,113.76%,$194629.48,Ten-minute entry delay unexpectedly improved CAGR Sharpe Sortino drawdown and net profit; delay may be changing strategy logic by acting as confirmation or pullback behavior rather than pure execution drag
EXP-005_QQQ_ORB_5M_10MIN_DELAY_REQUIRE_STILL_ABOVE_OR_HIGH,Opening Range Breakout,QQQ,Ten-minute delayed entry requiring price still above opening range high,Break above 5-minute opening range high then enter ten minutes later only if still above range high,End of day,4.489%,0.045,0.040,21.900%,31.857%,57%,0.64%,-0.79%,0.81,2332,$3317.34,100.99%,$131856.81,Requiring price to remain above opening range high sharply weakened performance; prior 10-minute delay improvement was likely not simple breakout confirmation
EXP-006_QQQ_ORB_5M_5BPS_SLIPPAGE,Opening Range Breakout,QQQ,5 basis points slippage per order,Break above 5-minute opening range high,End of day,-12.681%,-0.882,-0.887,60.800%,-57.428%,50%,0.68%,-0.82%,0.84,2636,$3153.05,114.08%,$42572.04,Five basis points of slippage per order completely destroyed the strategy; harsh stress test shows high-turnover weak-edge ORB is very sensitive to execution friction
EXP-007_QQQ_ORB_5M_1BPS_SLIPPAGE,Opening Range Breakout,QQQ,1 basis point slippage per order,Break above 5-minute opening range high,End of day,3.338%,-0.009,-0.009,21.400%,23.003%,54%,0.72%,-0.80%,0.90,2636,$3912.66,114.02%,$123002.71,One basis point slippage sharply reduced CAGR net profit and risk-adjusted performance; Sharpe and Sortino fell slightly below zero
EXP-008_QQQ_ORB_5M_2BPS_SLIPPAGE,Opening Range Breakout,QQQ,2 basis points slippage per order,Break above 5-minute opening range high,End of day,-0.886%,-0.234,-0.235,26.900%,-5.457%,53%,0.71%,-0.80%,0.88,2636,$3616.26,114.01%,$94543.28,Two basis points slippage pushed the strategy negative and materially worsened drawdown and risk-adjusted performance
EXP-009_QQQ_ORB_5M_10MIN_DELAY_1BPS_SLIPPAGE,Opening Range Breakout,QQQ,Ten-minute delayed entry with 1 basis point slippage per order,Break above 5-minute opening range high then enter ten minutes later,End of day,6.610%,0.165,0.168,14.800%,49.720%,56%,0.68%,-0.78%,0.87,2626,$4313.76,113.61%,$149720.48,Ten-minute delayed-entry version survived 1 bps slippage but performance weakened sharply versus no-slippage delay result
